17:05:18.289 [main] DEBUG o.a.c.c.ConfigurationUtils - ConfigurationUtils.locate(): base is null, name is global-configuration.properties
17:05:18.319 [main] DEBUG o.a.c.c.ConfigurationUtils - ConfigurationUtils.locate(): base is null, name is jar:file:/C:/apache-tomcat-7.0.25/webapps/portal/WEB-INF/lib/portal-impl.jar!/portal.properties
17:05:18.320 [main] DEBUG o.a.c.c.ConfigurationUtils - Loading configuration from the URL jar:file:/C:/apache-tomcat-7.0.25/webapps/portal/WEB-INF/lib/portal-impl.jar!/portal.properties
17:05:18.897 [main] DEBUG o.a.c.c.ConfigurationUtils - ConfigurationUtils.locate(): base is null, name is C:/liferay-plugins-sdk-6.1.0/portlets/HomeContent-portlet/liferay/${external-properties}
17:05:18.909 [main] DEBUG o.a.c.c.ConfigurationUtils - ConfigurationUtils.locate(): base is null, name is ${external-properties}
17:05:18.911 [main] DEBUG o.a.c.c.ConfigurationUtils - ConfigurationUtils.locate(): base is null, name is C:/liferay-plugins-sdk-6.1.0/portlets/HomeContent-portlet/liferay/portal-${easyconf:companyId}.properties
17:05:18.939 [main] DEBUG o.a.c.c.ConfigurationUtils - ConfigurationUtils.locate(): base is null, name is portal-${easyconf:companyId}.properties
17:05:18.942 [main] DEBUG o.a.c.c.ConfigurationUtils - ConfigurationUtils.locate(): base is null, name is C:/liferay-plugins-sdk-6.1.0/portlets/HomeContent-portlet/liferay/portal-setup-wizard.properties
17:05:18.953 [main] DEBUG o.a.c.c.ConfigurationUtils - ConfigurationUtils.locate(): base is null, name is portal-setup-wizard.properties
17:05:18.955 [main] DEBUG o.a.c.c.ConfigurationUtils - ConfigurationUtils.locate(): base is null, name is C:/liferay-plugins-sdk-6.1.0/portlets/HomeContent-portlet/liferay/portal-ext.properties
17:05:19.042 [main] DEBUG o.a.c.c.ConfigurationUtils - ConfigurationUtils.locate(): base is null, name is portal-ext.properties
17:05:19.044 [main] DEBUG o.a.c.c.ConfigurationUtils - ConfigurationUtils.locate(): base is null, name is C:/liferay-plugins-sdk-6.1.0/portlets/HomeContent-portlet/liferay/portal-bundle.properties
17:05:19.054 [main] DEBUG o.a.c.c.ConfigurationUtils - ConfigurationUtils.locate(): base is null, name is portal-bundle.properties
17:09:00.638 [main] DEBUG o.a.c.c.ConfigurationUtils - ConfigurationUtils.locate(): base is null, name is global-configuration.properties
17:09:00.658 [main] DEBUG o.a.c.c.ConfigurationUtils - ConfigurationUtils.locate(): base is null, name is jar:file:/C:/apache-tomcat-7.0.25/webapps/portal/WEB-INF/lib/portal-impl.jar!/portal.properties
17:09:00.658 [main] DEBUG o.a.c.c.ConfigurationUtils - Loading configuration from the URL jar:file:/C:/apache-tomcat-7.0.25/webapps/portal/WEB-INF/lib/portal-impl.jar!/portal.properties
17:09:01.264 [main] DEBUG o.a.c.c.ConfigurationUtils - ConfigurationUtils.locate(): base is null, name is C:/liferay-plugins-sdk-6.1.0/portlets/HomeContent-portlet/liferay/${external-properties}
17:09:01.283 [main] DEBUG o.a.c.c.ConfigurationUtils - ConfigurationUtils.locate(): base is null, name is ${external-properties}
